id,title,required_skills,importance_weights,salary_range
101,Software Engineer,"[""ui_design"", ""javascript"", ""python"", ""machine_learning"", ""sql""]","{""ui_design"": 4, ""javascript"": 4, ""python"": 1, ""machine_learning"": 1, ""sql"": 1}","[75615, 123632]"
102,Data Analyst,"[""sql"", ""python"", ""javascript""]","{""sql"": 4, ""python"": 4, ""javascript"": 1}","[78264, 118950]"
103,Backend Developer,"[""cloud_computing"", ""css"", ""sql""]","{""cloud_computing"": 3, ""css"": 4, ""sql"": 3}","[73349, 96699]"
104,Frontend Developer,"[""python"", ""css""]","{""python"": 5, ""css"": 4}","[78210, 90200]"
105,Machine Learning Engineer,"[""cloud_computing"", ""java""]","{""cloud_computing"": 3, ""java"": 1}","[50474, 130189]"
106,Cyber Security Analyst,"[""cloud_computing"", ""ui_design"", ""machine_learning""]","{""cloud_computing"": 1, ""ui_design"": 3, ""machine_learning"": 3}","[50227, 147430]"
107,DevOps Engineer,"[""java"", ""c++"", ""css""]","{""java"": 1, ""c++"": 1, ""css"": 1}","[67999, 101178]"
108,System Administrator,"[""cloud_computing"", ""sql""]","{""cloud_computing"": 5, ""sql"": 5}","[59907, 122642]"
109,Network Engineer,"[""data_analysis"", ""sql""]","{""data_analysis"": 1, ""sql"": 3}","[73325, 135110]"
110,Full Stack Developer,"[""ui_design"", ""javascript"", ""python"", ""c++""]","{""ui_design"": 1, ""javascript"": 5, ""python"": 3, ""c++"": 3}","[72820, 108415]"
111,Data Scientist,"[""python"", ""cloud_computing"", ""c++"", ""machine_learning"", ""java""]","{""python"": 4, ""cloud_computing"": 2, ""c++"": 1, ""machine_learning"": 1, ""java"": 2}","[70579, 103277]"
112,Cloud Engineer,"[""sql"", ""ui_design""]","{""sql"": 1, ""ui_design"": 5}","[64801, 91430]"
113,UI/UX Designer,"[""javascript"", ""machine_learning"", ""java"", ""cloud_computing"", ""data_analysis""]","{""javascript"": 5, ""machine_learning"": 1, ""java"": 1, ""cloud_computing"": 4, ""data_analysis"": 3}","[67256, 98701]"
114,QA Engineer,"[""java"", ""sql"", ""machine_learning""]","{""java"": 4, ""sql"": 1, ""machine_learning"": 4}","[52294, 93018]"
115,Product Manager,"[""data_analysis"", ""c++"", ""ui_design""]","{""data_analysis"": 1, ""c++"": 5, ""ui_design"": 5}","[54441, 147551]"
116,Business Analyst,"[""javascript"", ""java"", ""css"", ""cloud_computing"", ""python""]","{""javascript"": 4, ""java"": 3, ""css"": 5, ""cloud_computing"": 3, ""python"": 1}","[56976, 140391]"
117,Mobile App Developer,"[""data_analysis"", ""ui_design"", ""python"", ""sql"", ""machine_learning""]","{""data_analysis"": 1, ""ui_design"": 5, ""python"": 3, ""sql"": 3, ""machine_learning"": 2}","[76879, 98110]"
118,Database Administrator,"[""javascript"", ""data_analysis"", ""ui_design"", ""css"", ""java""]","{""javascript"": 3, ""data_analysis"": 1, ""ui_design"": 1, ""css"": 1, ""java"": 4}","[59481, 104820]"
119,Embedded Systems Engineer,"[""data_analysis"", ""sql"", ""javascript""]","{""data_analysis"": 3, ""sql"": 4, ""javascript"": 5}","[66027, 92239]"
120,Game Developer,"[""c++"", ""cloud_computing"", ""ui_design""]","{""c++"": 3, ""cloud_computing"": 5, ""ui_design"": 5}","[64557, 138154]"
121,IT Support Specialist,"[""ui_design"", ""cloud_computing"", ""javascript"", ""c++"", ""python""]","{""ui_design"": 5, ""cloud_computing"": 2, ""javascript"": 2, ""c++"": 4, ""python"": 3}","[76607, 132712]"
122,Blockchain Developer,"[""css"", ""python"", ""sql"", ""data_analysis"", ""ui_design""]","{""css"": 2, ""python"": 5, ""sql"": 1, ""data_analysis"": 3, ""ui_design"": 4}","[51203, 127080]"
123,AI Researcher,"[""css"", ""machine_learning""]","{""css"": 1, ""machine_learning"": 5}","[73173, 126020]"
124,Security Engineer,"[""javascript"", ""data_analysis"", ""cloud_computing""]","{""javascript"": 5, ""data_analysis"": 4, ""cloud_computing"": 5}","[58796, 107366]"
125,Site Reliability Engineer,"[""python"", ""java"", ""machine_learning""]","{""python"": 4, ""java"": 5, ""machine_learning"": 5}","[59184, 117596]"
126,Robotics Engineer,"[""sql"", ""machine_learning"", ""javascript"", ""c++""]","{""sql"": 2, ""machine_learning"": 5, ""javascript"": 1, ""c++"": 5}","[68650, 106877]"
127,IoT Engineer,"[""python"", ""cloud_computing"", ""c++"", ""javascript""]","{""python"": 3, ""cloud_computing"": 4, ""c++"": 5, ""javascript"": 5}","[61632, 90649]"
128,Big Data Engineer,"[""data_analysis"", ""machine_learning"", ""sql"", ""css"", ""java""]","{""data_analysis"": 5, ""machine_learning"": 3, ""sql"": 3, ""css"": 3, ""java"": 5}","[64141, 110426]"
129,Penetration Tester,"[""machine_learning"", ""sql"", ""ui_design""]","{""machine_learning"": 2, ""sql"": 2, ""ui_design"": 2}","[75869, 128758]"
130,Digital Forensics Analyst,"[""cloud_computing"", ""c++"", ""css"", ""machine_learning"", ""data_analysis""]","{""cloud_computing"": 2, ""c++"": 2, ""css"": 4, ""machine_learning"": 1, ""data_analysis"": 1}","[66477, 135066]"
131,Bioinformatics Engineer,"[""machine_learning"", ""cloud_computing"", ""python"", ""ui_design"", ""sql""]","{""machine_learning"": 2, ""cloud_computing"": 3, ""python"": 2, ""ui_design"": 1, ""sql"": 2}","[57281, 96075]"
132,Firmware Developer,"[""cloud_computing"", ""c++"", ""ui_design"", ""javascript""]","{""cloud_computing"": 5, ""c++"": 3, ""ui_design"": 1, ""javascript"": 4}","[75220, 115405]"
133,Technical Program Manager,"[""java"", ""c++"", ""ui_design"", ""python"", ""data_analysis""]","{""java"": 3, ""c++"": 3, ""ui_design"": 4, ""python"": 4, ""data_analysis"": 3}","[65553, 115954]"
134,Software Architect,"[""machine_learning"", ""java""]","{""machine_learning"": 4, ""java"": 3}","[50285, 96885]"
135,AR/VR Developer,"[""java"", ""python"", ""ui_design"", ""css"", ""machine_learning""]","{""java"": 3, ""python"": 4, ""ui_design"": 5, ""css"": 1, ""machine_learning"": 1}","[50651, 148904]"
136,Web Developer,"[""data_analysis"", ""ui_design"", ""sql"", ""cloud_computing""]","{""data_analysis"": 4, ""ui_design"": 2, ""sql"": 3, ""cloud_computing"": 2}","[74144, 108645]"
137,Software Consultant,"[""css"", ""c++"", ""ui_design"", ""data_analysis""]","{""css"": 1, ""c++"": 4, ""ui_design"": 1, ""data_analysis"": 5}","[53364, 117960]"
138,E-commerce Developer,"[""c++"", ""ui_design""]","{""c++"": 5, ""ui_design"": 5}","[71689, 116827]"
139,Cloud Security Specialist,"[""ui_design"", ""machine_learning"", ""python"", ""java""]","{""ui_design"": 4, ""machine_learning"": 4, ""python"": 3, ""java"": 2}","[58325, 91795]"
140,API Developer,"[""machine_learning"", ""javascript""]","{""machine_learning"": 3, ""javascript"": 5}","[56579, 130848]"
141,Data Engineer,"[""machine_learning"", ""javascript"", ""c++""]","{""machine_learning"": 1, ""javascript"": 1, ""c++"": 2}","[62238, 99147]"
142,Medical Imaging Specialist,"[""c++"", ""machine_learning"", ""sql"", ""css"", ""cloud_computing""]","{""c++"": 5, ""machine_learning"": 1, ""sql"": 2, ""css"": 1, ""cloud_computing"": 1}","[54813, 131667]"
143,NLP Engineer,"[""sql"", ""python""]","{""sql"": 1, ""python"": 2}","[50870, 105738]"
144,Quantum Computing Researcher,"[""python"", ""sql"", ""machine_learning"", ""java"", ""data_analysis""]","{""python"": 2, ""sql"": 3, ""machine_learning"": 5, ""java"": 2, ""data_analysis"": 4}","[72911, 118432]"
145,Biometric Security Expert,"[""data_analysis"", ""machine_learning"", ""css"", ""javascript"", ""ui_design""]","{""data_analysis"": 2, ""machine_learning"": 1, ""css"": 1, ""javascript"": 4, ""ui_design"": 2}","[76987, 122255]"
146,Ethical Hacker,"[""machine_learning"", ""java""]","{""machine_learning"": 1, ""java"": 2}","[78229, 147944]"
147,DSP Engineer,"[""c++"", ""css""]","{""c++"": 5, ""css"": 2}","[72123, 124031]"
148,Automotive Software Engineer,"[""java"", ""css"", ""data_analysis"", ""python""]","{""java"": 2, ""css"": 4, ""data_analysis"": 3, ""python"": 3}","[71459, 111170]"
149,GIS Developer,"[""cloud_computing"", ""python"", ""sql"", ""java"", ""css""]","{""cloud_computing"": 4, ""python"": 1, ""sql"": 3, ""java"": 4, ""css"": 3}","[63167, 107401]"
150,Satellite Software Engineer,"[""css"", ""sql"", ""cloud_computing"", ""python""]","{""css"": 2, ""sql"": 1, ""cloud_computing"": 3, ""python"": 5}","[75913, 135557]"
